Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,statistical_report,tiny_url,web_traffic
www.baidu.com,0,0,,0,https,0,0,0,2,0,2,0,0,0,0
sowalsky.com,0,0,/dan/bankofamerica/,0,http,0,0,0,1,1,1,0,0,0,1
ranggajonarektrus.000webhostapp.com,0,0,/,0,https,0,0,0,1,0,0,0,0,0,0
www.google.com,0,0,,0,https,0,0,0,1,0,2,0,0,0,0
